Platform type,Base,Year,Qtr,Rfh/t Dist,Rfh/t P1,Rfh/t P2,Rtac/fh Dist,Rtac/fh P1,Rtac/fh P2,Reot/fh Dist,Reot/fh P1,Reot/fh P2,Rwow/fh Dist,Rwow/fh P1,Rwow/fh P2
101101002,10004,2021,3,Constant,56.89082441782052,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10004,2021,4,Constant,54.24963658984199,0,Constant,1,0,Constant,1,0,Constant,1,0
100101001,10001,2022,1,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101001,10003,2022,1,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101001,10004,2022,1,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101002,10001,2022,1,Constant,21.5,0,Constant,1,0,Constant,1,0,Constant,1,0
100101002,10003,2022,1,Constant,21.5,0,Constant,1,0,Constant,1,0,Constant,1,0
100101002,10004,2022,1,Constant,21.5,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10001,2022,1,Constant,5.285714285714286,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10001,2022,2,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10001,2022,3,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10001,2022,4,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10003,2022,1,Constant,5.285714285714286,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10003,2022,2,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10003,2022,3,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10003,2022,4,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10004,2022,1,Constant,5.285714285714286,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10004,2022,2,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10004,2022,3,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10004,2022,4,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10001,2022,1,Constant,36.366163157581575,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10001,2022,2,Constant,34.097237431460464,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10001,2022,3,Constant,43.65702479338843,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10001,2022,4,Constant,44.193097352676226,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10002,2022,1,Constant,3.0003000300030003,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10003,2022,1,Constant,36.366163157581575,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10003,2022,2,Constant,34.097237431460464,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10003,2022,3,Constant,43.65702479338843,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10003,2022,4,Constant,44.193097352676226,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10004,2022,1,Constant,36.366163157581575,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10004,2022,2,Constant,34.097237431460464,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10004,2022,3,Constant,43.65702479338843,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10004,2022,4,Constant,44.193097352676226,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10001,2022,1,Constant,25.81,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10001,2022,2,Constant,27.456043956043956,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10001,2022,3,Constant,30.727272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10001,2022,4,Constant,35.27272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10002,2022,1,Constant,36.599268014639705,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10002,2022,2,Constant,18.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10002,2022,3,Constant,41.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10002,2022,4,Constant,20.99973750328121,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10003,2022,1,Constant,25.81,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10003,2022,2,Constant,27.456043956043956,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10003,2022,3,Constant,30.727272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10003,2022,4,Constant,35.27272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10004,2022,1,Constant,25.81,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10004,2022,2,Constant,27.456043956043956,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10004,2022,3,Constant,30.727272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10004,2022,4,Constant,35.27272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10001,2022,1,Constant,34.55411570953043,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10001,2022,2,Constant,32.139225181598064,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10001,2022,3,Constant,43.43822297328177,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10001,2022,4,Constant,41.81272509003601,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10002,2022,1,Constant,57.14792756896308,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10002,2022,2,Constant,54.891304347826086,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10002,2022,3,Constant,72.04321729727863,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10002,2022,4,Constant,74.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10003,2022,1,Constant,34.55411570953043,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10003,2022,2,Constant,32.139225181598064,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10003,2022,3,Constant,43.43822297328177,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10003,2022,4,Constant,41.81272509003601,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10004,2022,1,Constant,34.55411570953043,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10004,2022,2,Constant,32.139225181598064,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10004,2022,3,Constant,43.43822297328177,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10004,2022,4,Constant,41.81272509003601,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10001,2022,1,Constant,44.24480527093736,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10001,2022,2,Constant,36.798534798534796,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10001,2022,3,Constant,53.046691749745804,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10001,2022,4,Constant,51.822864228503306,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10002,2022,1,Constant,98.44554455445545,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10002,2022,2,Constant,82.85148514851485,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10002,2022,3,Constant,100.9009900990099,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10002,2022,4,Constant,95.12871287128714,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10003,2022,1,Constant,44.24480527093736,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10003,2022,2,Constant,36.798534798534796,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10003,2022,3,Constant,53.046691749745804,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10003,2022,4,Constant,51.822864228503306,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10004,2022,1,Constant,44.24480527093736,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10004,2022,2,Constant,36.798534798534796,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10004,2022,3,Constant,53.046691749745804,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10004,2022,4,Constant,51.822864228503306,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10001,2022,1,Constant,44.847457627118644,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10001,2022,2,Constant,38.58317746040426,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10001,2022,3,Constant,57.93112947658402,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10001,2022,4,Constant,51.04731456839653,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10002,2022,1,Constant,61.24074074074074,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10002,2022,2,Constant,60.54716981132076,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10002,2022,3,Constant,68.67441860465117,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10002,2022,4,Constant,59.857142857142854,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10003,2022,1,Constant,44.847457627118644,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10003,2022,2,Constant,38.58317746040426,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10003,2022,3,Constant,57.93112947658402,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10003,2022,4,Constant,51.04731456839653,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10004,2022,1,Constant,44.847457627118644,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10004,2022,2,Constant,38.58317746040426,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10004,2022,3,Constant,57.93112947658402,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10004,2022,4,Constant,51.04731456839653,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10001,2022,1,Constant,59.296561947683095,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10001,2022,2,Constant,37.931290765152035,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10001,2022,3,Constant,56.89082441782052,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10001,2022,4,Constant,54.24963658984199,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10002,2022,1,Constant,68.70588235294117,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10002,2022,2,Constant,60.70950047939221,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10002,2022,3,Constant,68.45458206127383,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10002,2022,4,Constant,74.28571428571429,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10003,2022,1,Constant,59.296561947683095,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10003,2022,2,Constant,37.931290765152035,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10003,2022,3,Constant,56.89082441782052,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10003,2022,4,Constant,54.24963658984199,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10004,2022,1,Constant,59.296561947683095,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10004,2022,2,Constant,37.931290765152035,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10004,2022,3,Constant,56.89082441782052,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10004,2022,4,Constant,54.24963658984199,0,Constant,1,0,Constant,1,0,Constant,1,0
100101001,10001,2023,1,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101001,10003,2023,1,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101001,10004,2023,1,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101002,10001,2023,1,Constant,21.5,0,Constant,1,0,Constant,1,0,Constant,1,0
100101002,10003,2023,1,Constant,21.5,0,Constant,1,0,Constant,1,0,Constant,1,0
100101002,10004,2023,1,Constant,21.5,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10001,2023,1,Constant,5.285714285714286,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10001,2023,2,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10001,2023,3,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10001,2023,4,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10003,2023,1,Constant,5.285714285714286,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10003,2023,2,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10003,2023,3,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10003,2023,4,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10004,2023,1,Constant,5.285714285714286,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10004,2023,2,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10004,2023,3,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10004,2023,4,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10001,2023,1,Constant,36.366163157581575,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10001,2023,2,Constant,34.097237431460464,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10001,2023,3,Constant,43.65702479338843,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10001,2023,4,Constant,44.193097352676226,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10002,2023,1,Constant,3.0003000300030003,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10003,2023,1,Constant,36.366163157581575,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10003,2023,2,Constant,34.097237431460464,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10003,2023,3,Constant,43.65702479338843,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10003,2023,4,Constant,44.193097352676226,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10004,2023,1,Constant,36.366163157581575,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10004,2023,2,Constant,34.097237431460464,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10004,2023,3,Constant,43.65702479338843,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10004,2023,4,Constant,44.193097352676226,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10001,2023,1,Constant,25.81,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10001,2023,2,Constant,27.456043956043956,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10001,2023,3,Constant,30.727272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10001,2023,4,Constant,35.27272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10002,2023,1,Constant,36.599268014639705,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10002,2023,2,Constant,18.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10002,2023,3,Constant,41.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10002,2023,4,Constant,20.99973750328121,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10003,2023,1,Constant,25.81,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10003,2023,2,Constant,27.456043956043956,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10003,2023,3,Constant,30.727272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10003,2023,4,Constant,35.27272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10004,2023,1,Constant,25.81,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10004,2023,2,Constant,27.456043956043956,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10004,2023,3,Constant,30.727272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10004,2023,4,Constant,35.27272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10001,2023,1,Constant,34.55411570953043,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10001,2023,2,Constant,32.139225181598064,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10001,2023,3,Constant,43.43822297328177,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10001,2023,4,Constant,41.81272509003601,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10002,2023,1,Constant,57.14792756896308,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10002,2023,2,Constant,54.891304347826086,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10002,2023,3,Constant,72.04321729727863,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10002,2023,4,Constant,74.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10003,2023,1,Constant,34.55411570953043,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10003,2023,2,Constant,32.139225181598064,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10003,2023,3,Constant,43.43822297328177,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10003,2023,4,Constant,41.81272509003601,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10004,2023,1,Constant,34.55411570953043,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10004,2023,2,Constant,32.139225181598064,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10004,2023,3,Constant,43.43822297328177,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10004,2023,4,Constant,41.81272509003601,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10001,2023,1,Constant,44.24480527093736,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10001,2023,2,Constant,36.798534798534796,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10001,2023,3,Constant,53.046691749745804,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10001,2023,4,Constant,51.822864228503306,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10002,2023,1,Constant,98.44554455445545,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10002,2023,2,Constant,82.85148514851485,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10002,2023,3,Constant,100.9009900990099,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10002,2023,4,Constant,95.12871287128714,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10003,2023,1,Constant,44.24480527093736,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10003,2023,2,Constant,36.798534798534796,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10003,2023,3,Constant,53.046691749745804,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10003,2023,4,Constant,51.822864228503306,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10004,2023,1,Constant,44.24480527093736,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10004,2023,2,Constant,36.798534798534796,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10004,2023,3,Constant,53.046691749745804,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10004,2023,4,Constant,51.822864228503306,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10001,2023,1,Constant,44.847457627118644,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10001,2023,2,Constant,38.58317746040426,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10001,2023,3,Constant,57.93112947658402,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10001,2023,4,Constant,51.04731456839653,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10002,2023,1,Constant,61.24074074074074,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10002,2023,2,Constant,60.54716981132076,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10002,2023,3,Constant,68.67441860465117,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10002,2023,4,Constant,59.857142857142854,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10003,2023,1,Constant,44.847457627118644,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10003,2023,2,Constant,38.58317746040426,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10003,2023,3,Constant,57.93112947658402,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10003,2023,4,Constant,51.04731456839653,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10004,2023,1,Constant,44.847457627118644,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10004,2023,2,Constant,38.58317746040426,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10004,2023,3,Constant,57.93112947658402,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10004,2023,4,Constant,51.04731456839653,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10001,2023,1,Constant,59.296561947683095,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10001,2023,2,Constant,37.931290765152035,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10001,2023,3,Constant,56.89082441782052,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10001,2023,4,Constant,54.24963658984199,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10002,2023,1,Constant,68.70588235294117,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10002,2023,2,Constant,60.70950047939221,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10002,2023,3,Constant,68.45458206127383,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10002,2023,4,Constant,74.28571428571429,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10003,2023,1,Constant,59.296561947683095,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10003,2023,2,Constant,37.931290765152035,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10003,2023,3,Constant,56.89082441782052,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10003,2023,4,Constant,54.24963658984199,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10004,2023,1,Constant,59.296561947683095,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10004,2023,2,Constant,37.931290765152035,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10004,2023,3,Constant,56.89082441782052,0,Constant,1,0,Constant,1,0,Constant,1,0
